Unnamed: 0;day;label;hr_maxHeartRate;hr_minHeartRate;hr_restingHeartRate;hr_lastSevenDaysAvgRestingHeartRate;resp_lowestRespirationValue;resp_highestRespirationValue;resp_avgWakingRespirationValue;resp_avgSleepRespirationValue;resp_avgTomorrowSleepRespirationValue;str_maxStressLevel;str_avgStressLevel;sleep_sleepTimeSeconds;sleep_napTimeSeconds;sleep_unmeasurableSleepSeconds;sleep_deepSleepSeconds;sleep_lightSleepSeconds;sleep_remSleepSeconds;sleep_awakeSleepSeconds;act_totalCalories;act_activeKilocalories;act_distance;act_activeTime;sleep_averageRespirationValue;sleep_lowestRespirationValue;sleep_highestRespirationValue;sleep_awakeCount;sleep_avgSleepStress;sleep_avgHeartRate;hr_time_series_mean;hr_time_series_std;hr_time_series_min;hr_time_series_max;resp_time_series_mean;resp_time_series_std;resp_time_series_min;resp_time_series_max;stress_time_series_mean;stress_time_series_std;stress_time_series_min;stress_time_series_max
0;0;54;142;62;75;74;8.0;18.0;14.0;12.0;12.0;97;24;25200.0;0.0;0.0;0.0;0.0;0.0;0.0;4091.0;1603.0;9797;0.0;12.0;10.0;16.0;2.0;7.0;52.0;0;0;0;0;12.860869565217392;1.8196366408505567;8.0;19.0;22.40740740740741;12.346117276171572;1;59
1;1;64;101;45;47;65;6.0;19.0;13.0;12.0;12.0;88;13;15000.0;0.0;5340.0;3240.0;9120.0;2640.0;1440.0;2516.0;28.0;969;0.0;12.0;9.0;18.0;0.0;0.0;0.0;0;0;0;0;12.666666666666666;2.0669788179107584;6.0;24.0;13.339080459770114;14.122411115180364;1;73
2;2;65;148;44;48;61;6.0;19.0;13.0;12.0;13.0;99;21;17820.0;4920.0;1500.0;3840.0;10440.0;3540.0;660.0;3842.0;1354.0;7835;0.0;12.0;9.0;17.0;1.0;10.0;53.0;0;0;0;0;12.86968085106383;1.9286573171717487;7.0;20.0;20.803827751196174;21.237656920496732;1;93
3;3;65;145;43;49;58;6.0;19.0;13.0;13.0;12.0;99;30;18480.0;2700.0;0.0;6780.0;9120.0;2580.0;1080.0;3353.0;865.0;6804;0.0;13.0;8.0;16.0;1.0;7.0;51.0;0;0;0;0;12.98165137614679;1.9409398305619938;7.0;19.0;28.89637305699482;26.084550393455203;1;85
4;4;79;101;48;50;57;7.0;22.0;13.0;12.0;12.0;98;29;17640.0;0.0;720.0;5880.0;9960.0;1800.0;600.0;2525.0;37.0;806;0.0;12.0;8.0;16.0;1.0;15.0;55.0;0;0;0;0;13.043227665706052;1.831796951653658;7.0;21.0;28.317757009345794;19.65073451379387;2;76
5;5;57;101;45;48;56;6.0;17.0;13.0;12.0;12.0;96;12;24060.0;0.0;0.0;3420.0;16560.0;4080.0;1740.0;2515.0;27.0;788;0.0;12.0;10.0;16.0;2.0;8.0;51.0;0;0;0;0;12.70949720670391;1.4021010864756178;8.0;17.0;11.655021834061136;10.658196248440241;1;76
6;6;64;134;43;46;52;8.0;22.0;14.0;12.0;13.0;92;23;16080.0;0.0;0.0;3780.0;10560.0;1740.0;180.0;3380.0;892.0;5976;0.0;12.0;9.0;22.0;0.0;8.0;50.0;0;0;0;0;13.214285714285714;1.9014658334776555;8.0;22.0;23.300613496932517;25.03399773444918;1;87
7;8;55;102;63;52;48;8.0;19.0;15.0;0.0;14.0;85;54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2519.0;31.0;259;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;14.811764705882354;1.8438713598555352;9.0;18.0;54.232142857142854;16.231573147318;23;80
8;9;60;148;56;52;49;9.0;23.0;14.0;14.0;13.0;93;32;18345.0;0.0;1140.0;6600.0;10920.0;840.0;600.0;3411.0;923.0;3476;0.0;14.0;9.0;19.0;0.0;26.0;65.0;0;0;0;0;14.023474178403756;1.8650260594385506;9.0;21.0;31.15909090909091;13.832235925138974;12;86
9;11;38;135;71;53;49;8.0;19.0;14.0;0.0;12.0;95;73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3633.0;1145.0;7595;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;14.0;2.3621667876704024;9.0;19.0;71.8103448275862;11.95747767277393;41;91
