Unnamed: 0;day;label;hr_maxHeartRate;hr_minHeartRate;hr_restingHeartRate;hr_lastSevenDaysAvgRestingHeartRate;resp_lowestRespirationValue;resp_highestRespirationValue;resp_avgWakingRespirationValue;resp_avgSleepRespirationValue;resp_avgTomorrowSleepRespirationValue;str_maxStressLevel;str_avgStressLevel;sleep_sleepTimeSeconds;sleep_napTimeSeconds;sleep_unmeasurableSleepSeconds;sleep_deepSleepSeconds;sleep_lightSleepSeconds;sleep_remSleepSeconds;sleep_awakeSleepSeconds;act_totalCalories;act_activeKilocalories;act_distance;act_activeTime;sleep_averageRespirationValue;sleep_lowestRespirationValue;sleep_highestRespirationValue;sleep_awakeCount;sleep_avgSleepStress;sleep_avgHeartRate;hr_time_series_mean;hr_time_series_std;hr_time_series_min;hr_time_series_max;resp_time_series_mean;resp_time_series_std;resp_time_series_min;resp_time_series_max;stress_time_series_mean;stress_time_series_std;stress_time_series_min;stress_time_series_max
0;10;86;108;56;62;62;7.0;21.0;14.0;0.0;17.0;78;17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2699.0;269.0;5362;0.0;17.0;13.0;24.0;0.0;10.0;65.0;0.0;0.0;0;0;13.838509316770187;2.7035762400823917;8.0;20.0;16.95049504950495;12.700180272848366;2;75
1;11;83;108;52;60;61;6.0;25.0;13.0;17.0;16.0;80;18;24420.0;0.0;0.0;6420.0;11760.0;6240.0;360.0;2636.0;206.0;4659;0.0;0.0;0.0;0.0;0.0;0.0;0.0;67.46388888888889;7.579491802730202;52;108;14.283559577677226;2.8509189329561098;7.0;24.0;18.07373271889401;10.683942962169134;1;67
2;12;83;122;56;58;60;8.0;23.0;15.0;16.0;15.0;99;40;25315.0;0.0;0.0;4080.0;15840.0;5400.0;60.0;3162.0;732.0;5929;0.0;16.0;12.0;21.0;0.0;14.0;62.0;0.0;0.0;0;0;15.12395309882747;2.5410622657338195;8.0;22.0;39.88831168831169;28.984106589852676;4;98
3;13;79;146;52;54;59;8.0;25.0;18.0;15.0;15.0;94;27;24463.0;0.0;0.0;5100.0;12540.0;6840.0;60.0;3045.0;615.0;4703;0.0;15.0;11.0;18.0;0.0;14.0;58.0;0.0;0.0;0;0;16.101149425287357;2.6865135400106563;9.0;24.0;26.770428015564203;22.579341756035955;1;90
4;14;76;133;51;53;57;8.0;24.0;15.0;15.0;16.0;93;29;23880.0;0.0;0.0;7080.0;12540.0;4260.0;960.0;3008.0;578.0;8073;0.0;15.0;11.0;21.0;1.0;12.0;59.0;0.0;0.0;0;0;14.75625;2.755668872978029;8.0;23.0;29.385922330097088;20.123263257963583;1;88
5;15;83;138;56;58;58;9.0;25.0;17.0;16.0;16.0;97;38;24120.0;1860.0;0.0;6900.0;12000.0;5220.0;1320.0;2951.0;521.0;5052;0.0;16.0;12.0;22.0;1.0;21.0;64.0;0.0;0.0;0;0;16.58256029684601;2.682685521663948;9.0;23.0;37.47839506172839;19.336274422320457;3;92
6;16;75;120;53;55;57;8.0;22.0;15.0;16.0;15.0;96;32;24300.0;0.0;0.0;6240.0;11340.0;6720.0;0.0;3020.0;590.0;7218;0.0;16.0;13.0;20.0;0.0;13.0;60.0;0.0;0.0;0;0;15.37227414330218;2.338232444677794;8.0;21.0;32.076167076167074;19.542220331392365;1;87
7;17;80;153;57;59;57;8.0;24.0;15.0;15.0;15.0;90;24;22351.0;0.0;0.0;5460.0;11400.0;5520.0;300.0;3159.0;729.0;7064;0.0;15.0;10.0;23.0;0.0;22.0;61.0;0.0;0.0;0;0;15.381316998468606;2.2905532301443086;9.0;23.0;23.838709677419356;11.524546693854788;5;82
8;18;86;132;54;57;56;6.0;24.0;15.0;15.0;15.0;94;24;24420.0;0.0;0.0;5160.0;12240.0;7020.0;60.0;2821.0;391.0;4903;0.0;15.0;12.0;18.0;0.0;19.0;63.0;0.0;0.0;0;0;14.745937961595274;2.656143440304339;7.0;23.0;24.331797235023043;15.995551023028714;2;94
9;19;78;103;50;51;55;7.0;22.0;14.0;15.0;15.0;91;27;24720.0;0.0;0.0;5880.0;12540.0;6300.0;540.0;2569.0;139.0;2994;0.0;15.0;10.0;20.0;0.0;10.0;58.0;0.0;0.0;0;0;14.543116490166415;2.0618357565247285;9.0;21.0;27.12;18.756324737193555;1;89
