Unnamed: 0;day;label;hr_maxHeartRate;hr_minHeartRate;hr_restingHeartRate;hr_lastSevenDaysAvgRestingHeartRate;resp_lowestRespirationValue;resp_highestRespirationValue;resp_avgWakingRespirationValue;resp_avgSleepRespirationValue;resp_avgTomorrowSleepRespirationValue;str_maxStressLevel;str_avgStressLevel;sleep_sleepTimeSeconds;sleep_napTimeSeconds;sleep_unmeasurableSleepSeconds;sleep_deepSleepSeconds;sleep_lightSleepSeconds;sleep_remSleepSeconds;sleep_awakeSleepSeconds;act_totalCalories;act_activeKilocalories;act_distance;act_activeTime;sleep_averageRespirationValue;sleep_lowestRespirationValue;sleep_highestRespirationValue;sleep_awakeCount;sleep_avgSleepStress;sleep_avgHeartRate;hr_time_series_mean;hr_time_series_std;hr_time_series_min;hr_time_series_max;resp_time_series_mean;resp_time_series_std;resp_time_series_min;resp_time_series_max;stress_time_series_mean;stress_time_series_std;stress_time_series_min;stress_time_series_max
0;0;79;114;39;40;49;7.0;20.0;13.0;13.0;12.0;97;44;23040.0;0.0;0.0;3720.0;12300.0;7020.0;120.0;2543.0;321.0;6411;0.0;13.0;7.0;18.0;0.0;6.0;47.0;0.0;0.0;0;0;13.1856;2.02641373860325;7.0;22.0;43.24050632911393;29.779533873422437;1;93
1;1;81;174;41;43;47;7.0;22.0;13.0;12.0;13.0;99;48;22740.0;0.0;600.0;4680.0;12840.0;5220.0;360.0;3875.0;1653.0;13128;0.0;12.0;9.0;16.0;0.0;15.0;50.0;78.99027777777778;25.203696045764477;41;174;13.107485604606525;2.1400041285329947;8.0;20.0;47.425396825396824;30.4531384378613;2;92
2;2;87;115;43;44;46;6.0;19.0;13.0;13.0;13.0;99;44;28140.0;0.0;0.0;2100.0;21120.0;4920.0;1200.0;2592.0;370.0;4406;0.0;13.0;8.0;16.0;1.0;17.0;53.0;70.51527777777778;14.502386391003055;43;115;12.903381642512077;2.018514503990299;6.0;19.0;43.338345864661655;25.642096268114173;2;97
3;3;54;109;42;45;46;7.0;20.0;13.0;13.0;12.0;96;42;27720.0;0.0;0.0;4500.0;16800.0;6420.0;1140.0;2314.0;92.0;1583;0.0;13.0;8.0;16.0;2.0;14.0;52.0;67.07692307692308;14.592712568188334;42;109;13.005366726296959;1.9579588052467112;8.0;19.0;42.23626373626374;28.332779200938347;2;94
4;4;96;120;52;57;48;8.0;21.0;14.0;12.0;12.0;96;45;22860.0;0.0;0.0;2400.0;20460.0;0.0;1620.0;2724.0;502.0;5403;0.0;12.0;8.0;16.0;1.0;28.0;61.0;0.0;0.0;0;0;13.245871559633027;2.024190045746999;8.0;19.0;43.58651026392962;21.095280145567695;12;94
5;5;75;94;39;40;47;7.0;19.0;13.0;12.0;13.0;93;19;30960.0;0.0;0.0;5700.0;15660.0;9600.0;60.0;2231.0;9.0;155;0.0;12.0;9.0;17.0;0.0;7.0;46.0;0.0;0.0;0;0;12.564179104477612;1.7622663065171973;9.0;19.0;19.64864864864865;24.2223739355735;1;91
6;6;89;108;46;49;45;7.0;22.0;14.0;13.0;12.0;96;49;26209.0;0.0;0.0;2040.0;19680.0;4500.0;1380.0;2315.0;93.0;992;0.0;13.0;9.0;18.0;1.0;23.0;57.0;70.24444444444444;11.724083580496563;46;108;13.548672566371682;2.0357765455778005;7.0;21.0;49.01146788990825;25.162451213192814;10;94
7;7;82;110;41;44;46;6.0;20.0;14.0;12.0;13.0;98;35;30540.0;3960.0;0.0;3540.0;18660.0;8340.0;780.0;2344.0;122.0;1647;0.0;12.0;9.0;17.0;1.0;14.0;51.0;63.358333333333334;13.73982199059847;41;110;13.235380116959064;1.9996724151199863;6.0;19.0;34.36986301369863;24.885219714826857;2;92
8;8;85;110;40;43;46;7.0;21.0;13.0;13.0;12.0;97;47;23220.0;0.0;0.0;4980.0;12180.0;6060.0;0.0;2546.0;324.0;4805;0.0;13.0;8.0;17.0;0.0;13.0;48.0;70.61805555555556;16.9388592229433;40;110;13.2109375;2.090351135836692;7.0;21.0;46.8643216080402;31.163641413477738;2;95
9;9;88;128;44;45;46;7.0;22.0;14.0;12.0;13.0;99;48;23280.0;0.0;0.0;5460.0;10620.0;7200.0;60.0;3092.0;870.0;8539;0.0;12.0;9.0;16.0;0.0;14.0;51.0;74.54027777777777;18.62886171540624;44;128;13.3261231281198;2.1030363386647943;8.0;23.0;48.01072386058981;30.90944818134885;3;97
10;10;85;115;39;44;46;8.0;20.0;14.0;13.0;12.0;99;40;24720.0;0.0;1980.0;5400.0;12900.0;6420.0;540.0;2378.0;156.0;2235;0.0;13.0;10.0;18.0;1.0;12.0;50.0;66.62916666666666;13.91521886181537;39;115;13.40381791483113;1.8796186671642168;8.0;18.0;39.789838337182445;26.8383182035004;1;94
11;12;90;113;50;49;45;6.0;21.0;15.0;0.0;12.0;97;59;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2383.0;161.0;2488;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;14.591362126245848;1.977227110947697;8.0;19.0;58.205555555555556;20.19590091033938;9;94
